<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;15;20161201;101500;63.8200000;63.8350000;63.4975000;63.5550000;171556000
USD000000TOD;15;20161201;103000;63.5575000;63.6725000;63.4825000;63.6675000;132495000
USD000000TOD;15;20161201;104500;63.6725000;63.7475000;63.6175000;63.6550000;59327000
USD000000TOD;15;20161201;110000;63.6550000;63.7975000;63.6400000;63.7650000;66892000
USD000000TOD;15;20161201;111500;63.7700000;63.8425000;63.7275000;63.8200000;104204000
USD000000TOD;15;20161201;113000;63.8200000;63.8875000;63.7850000;63.8800000;70830000
USD000000TOD;15;20161201;114500;63.8850000;63.9800000;63.8825000;63.8925000;79498000
USD000000TOD;15;20161201;120000;63.9000000;63.9275000;63.8475000;63.9250000;49281000
USD000000TOD;15;20161201;121500;63.9150000;64.0200000;63.8825000;63.9550000;73497000
USD000000TOD;15;20161201;123000;63.9575000;63.9975000;63.9125000;63.9675000;31032000
USD000000TOD;15;20161201;124500;63.9800000;64.1800000;63.9525000;64.1400000;80094000
USD000000TOD;15;20161201;130000;64.1425000;64.1750000;64.0075000;64.0250000;62875000
USD000000TOD;15;20161201;131500;64.0250000;64.0850000;63.9800000;64.0150000;33580000
USD000000TOD;15;20161201;133000;64.0225000;64.0225000;63.8800000;63.9250000;30384000
USD000000TOD;15;20161201;134500;63.9350000;64.0700000;63.9350000;64.0575000;33182000
USD000000TOD;15;20161201;140000;64.0650000;64.0700000;63.9600000;64.0075000;26600000
USD000000TOD;15;20161201;141500;64.0125000;64.0125000;63.8250000;63.8575000;55867000
USD000000TOD;15;20161201;143000;63.8575000;64.0425000;63.8100000;64.0400000;36435000
USD000000TOD;15;20161201;144500;64.0500000;64.0600000;63.9075000;63.9600000;16727000
USD000000TOD;15;20161201;150000;63.9550000;64.0625000;63.9125000;63.9475000;31444000
USD000000TOD;15;20161201;151500;63.9500000;63.9500000;63.8225000;63.8500000;34350000
USD000000TOD;15;20161201;153000;63.8450000;63.8550000;63.7750000;63.8075000;40944000
USD000000TOD;15;20161201;154500;63.8200000;63.8700000;63.7600000;63.8250000;37949000
USD000000TOD;15;20161201;160000;63.8150000;63.8825000;63.7250000;63.8650000;36802000
USD000000TOD;15;20161201;161500;63.8675000;63.8775000;63.7125000;63.7675000;23102000
USD000000TOD;15;20161201;163000;63.7500000;63.8275000;63.7000000;63.8275000;19336000
USD000000TOD;15;20161201;164500;63.8100000;63.8250000;63.7175000;63.7750000;15543000
USD000000TOD;15;20161201;170000;63.7750000;63.7775000;63.6500000;63.7150000;32460000
USD000000TOD;15;20161201;171500;63.7025000;63.7175000;63.6100000;63.6700000;33119000
USD000000TOD;15;20161202;101500;63.8025000;64.1075000;63.7750000;64.0600000;106152000
USD000000TOD;15;20161202;103000;64.0600000;64.1725000;64.0350000;64.1450000;121171000
USD000000TOD;15;20161202;104500;64.1400000;64.2100000;64.1350000;64.2025000;132560000
USD000000TOD;15;20161202;110000;64.2000000;64.2825000;64.1750000;64.2300000;107146000
USD000000TOD;15;20161202;111500;64.2475000;64.2650000;64.1225000;64.1475000;101718000
USD000000TOD;15;20161202;113000;64.1450000;64.1500000;64.0225000;64.0550000;46549000
USD000000TOD;15;20161202;114500;64.0550000;64.1500000;64.0550000;64.1475000;56598000
USD000000TOD;15;20161202;120000;64.1475000;64.1675000;64.0900000;64.1200000;38733000
USD000000TOD;15;20161202;121500;64.1200000;64.1700000;64.0875000;64.1500000;26987000
USD000000TOD;15;20161202;123000;64.1575000;64.2100000;64.1425000;64.2000000;30445000
USD000000TOD;15;20161202;124500;64.2000000;64.2100000;64.1400000;64.1825000;31371000
USD000000TOD;15;20161202;130000;64.1825000;64.2050000;64.1575000;64.2000000;22394000
USD000000TOD;15;20161202;131500;64.2025000;64.2125000;64.1750000;64.2050000;21906000
USD000000TOD;15;20161202;133000;64.2000000;64.2125000;64.1500000;64.2000000;31831000
USD000000TOD;15;20161202;134500;64.1950000;64.2450000;64.1800000;64.2300000;25668000
USD000000TOD;15;20161202;140000;64.2375000;64.2500000;64.2100000;64.2450000;40153000
USD000000TOD;15;20161202;141500;64.2400000;64.3000000;64.2250000;64.2600000;103060000
USD000000TOD;15;20161202;143000;64.2600000;64.2850000;64.2450000;64.2775000;23940000
USD000000TOD;15;20161202;144500;64.2775000;64.3050000;64.2000000;64.2400000;51131000
USD000000TOD;15;20161202;150000;64.2375000;64.2950000;64.2250000;64.2550000;21624000
USD000000TOD;15;20161202;151500;64.2500000;64.2675000;64.1900000;64.1925000;15619000
USD000000TOD;15;20161202;153000;64.1900000;64.2100000;64.1375000;64.1650000;13490000
USD000000TOD;15;20161202;154500;64.1650000;64.2500000;64.1400000;64.1450000;34827000
USD000000TOD;15;20161202;160000;64.1425000;64.1850000;64.1400000;64.1600000;17317000
USD000000TOD;15;20161202;161500;64.1650000;64.1650000;64.0700000;64.0875000;35153000
USD000000TOD;15;20161202;163000;64.0925000;64.1850000;64.0700000;64.1775000;16605000
USD000000TOD;15;20161202;164500;64.1600000;64.2000000;63.9675000;64.0475000;72371000
USD000000TOD;15;20161202;170000;64.0450000;64.0900000;64.0250000;64.0500000;29632000
USD000000TOD;15;20161202;171500;64.0475000;64.0475000;63.9500000;63.9500000;59378000
USD000000TOD;15;20161205;101500;63.9950000;64.0900000;63.9300000;63.9675000;57935000
USD000000TOD;15;20161205;103000;63.9625000;63.9850000;63.8900000;63.9100000;38338000
USD000000TOD;15;20161205;104500;63.9050000;63.9475000;63.8475000;63.9200000;62074000
USD000000TOD;15;20161205;110000;63.9300000;64.0000000;63.9125000;63.9925000;50096000
USD000000TOD;15;20161205;111500;63.9975000;63.9975000;63.8500000;63.8525000;54890000
USD000000TOD;15;20161205;113000;63.8425000;63.8975000;63.6900000;63.7225000;74894000
USD000000TOD;15;20161205;114500;63.7100000;63.8275000;63.6975000;63.7725000;54722000
USD000000TOD;15;20161205;120000;63.7725000;63.8500000;63.7550000;63.8125000;47552000
USD000000TOD;15;20161205;121500;63.8150000;63.8225000;63.7675000;63.8200000;22880000
USD000000TOD;15;20161205;123000;63.8100000;63.8225000;63.7175000;63.7300000;34488000
USD000000TOD;15;20161205;124500;63.7300000;63.7350000;63.6300000;63.6600000;52739000
USD000000TOD;15;20161205;130000;63.6575000;63.7800000;63.6575000;63.7775000;41083000
USD000000TOD;15;20161205;131500;63.7700000;63.7900000;63.7125000;63.7450000;20682000
USD000000TOD;15;20161205;133000;63.7525000;63.7750000;63.7250000;63.7350000;14175000
USD000000TOD;15;20161205;134500;63.7300000;63.7525000;63.7100000;63.7150000;22056000
USD000000TOD;15;20161205;140000;63.7150000;63.7400000;63.6825000;63.7275000;22471000
USD000000TOD;15;20161205;141500;63.7300000;63.7400000;63.6900000;63.7100000;32377000
USD000000TOD;15;20161205;143000;63.7075000;63.7325000;63.6500000;63.6800000;17170000
USD000000TOD;15;20161205;144500;63.6800000;63.6850000;63.5425000;63.5900000;33883000
USD000000TOD;15;20161205;150000;63.5875000;63.6075000;63.5425000;63.5675000;47539000
USD000000TOD;15;20161205;151500;63.5675000;63.6000000;63.5175000;63.5700000;19966000
USD000000TOD;15;20161205;153000;63.5800000;63.6675000;63.5700000;63.6525000;31111000
USD000000TOD;15;20161205;154500;63.6475000;63.7100000;63.6475000;63.7000000;22524000
USD000000TOD;15;20161205;160000;63.7000000;63.7075000;63.6400000;63.6825000;12934000
USD000000TOD;15;20161205;161500;63.6800000;63.6850000;63.6150000;63.6300000;11547000
USD000000TOD;15;20161205;163000;63.6225000;63.6575000;63.6200000;63.6425000;25641000
USD000000TOD;15;20161205;164500;63.6450000;63.7350000;63.6450000;63.7075000;25693000
USD000000TOD;15;20161205;170000;63.7100000;63.7100000;63.6275000;63.6850000;14453000
USD000000TOD;15;20161205;171500;63.6775000;63.6975000;63.6100000;63.6175000;15013000
USD000000TOD;15;20161206;101500;63.8100000;63.9600000;63.7825000;63.9300000;78326000
USD000000TOD;15;20161206;103000;63.9300000;63.9600000;63.8325000;63.8350000;47896000
USD000000TOD;15;20161206;104500;63.8350000;63.8525000;63.7525000;63.7975000;63380000
USD000000TOD;15;20161206;110000;63.7950000;63.8300000;63.7625000;63.7950000;18948000
USD000000TOD;15;20161206;111500;63.7950000;63.8250000;63.7650000;63.8175000;32835000
USD000000TOD;15;20161206;113000;63.8050000;63.9100000;63.8000000;63.8775000;41338000
USD000000TOD;15;20161206;114500;63.8850000;63.8875000;63.8400000;63.8400000;31911000
USD000000TOD;15;20161206;120000;63.8475000;63.8700000;63.8250000;63.8275000;30559000
USD000000TOD;15;20161206;121500;63.8225000;63.8225000;63.7650000;63.7900000;58460000
USD000000TOD;15;20161206;123000;63.7900000;63.8150000;63.7750000;63.8075000;26503000
USD000000TOD;15;20161206;124500;63.8075000;63.8450000;63.7975000;63.8125000;24210000
USD000000TOD;15;20161206;130000;63.8100000;63.8150000;63.7000000;63.7775000;76005000
USD000000TOD;15;20161206;131500;63.7775000;63.7825000;63.7275000;63.7575000;9334000
USD000000TOD;15;20161206;133000;63.7575000;63.7950000;63.7425000;63.7675000;34654000
USD000000TOD;15;20161206;134500;63.7675000;63.8150000;63.7300000;63.7800000;34511000
USD000000TOD;15;20161206;140000;63.7700000;63.8625000;63.7675000;63.8325000;17019000
USD000000TOD;15;20161206;141500;63.8450000;63.8475000;63.7850000;63.8000000;15425000
USD000000TOD;15;20161206;143000;63.8025000;63.8125000;63.7725000;63.7900000;8927000
USD000000TOD;15;20161206;144500;63.7825000;63.8575000;63.7800000;63.8525000;17558000
USD000000TOD;15;20161206;150000;63.8575000;63.8700000;63.7675000;63.7750000;16496000
USD000000TOD;15;20161206;151500;63.7800000;63.8375000;63.7800000;63.8150000;9267000
USD000000TOD;15;20161206;153000;63.8125000;63.8375000;63.7500000;63.8250000;7680000
USD000000TOD;15;20161206;154500;63.8200000;63.8425000;63.7725000;63.7950000;8693000
USD000000TOD;15;20161206;160000;63.8050000;63.8050000;63.7075000;63.7575000;21810000
USD000000TOD;15;20161206;161500;63.7500000;63.8200000;63.7300000;63.7375000;26249000
USD000000TOD;15;20161206;163000;63.7325000;63.7625000;63.6375000;63.7575000;42361000
USD000000TOD;15;20161206;164500;63.7600000;63.7650000;63.6825000;63.7100000;33645000
USD000000TOD;15;20161206;170000;63.7075000;63.8300000;63.6700000;63.8125000;22405000
USD000000TOD;15;20161206;171500;63.8100000;63.8550000;63.7475000;63.7550000;18068000
USD000000TOD;15;20161207;101500;63.9000000;63.9725000;63.8175000;63.9575000;72988000
USD000000TOD;15;20161207;103000;63.9550000;63.9725000;63.9200000;63.9250000;30820000
USD000000TOD;15;20161207;104500;63.9400000;63.9575000;63.8300000;63.8750000;52447000
USD000000TOD;15;20161207;110000;63.8725000;63.8925000;63.8525000;63.8850000;16042000
USD000000TOD;15;20161207;111500;63.8950000;63.9000000;63.8525000;63.8825000;33657000
USD000000TOD;15;20161207;113000;63.8850000;63.9275000;63.8800000;63.9100000;20957000
USD000000TOD;15;20161207;114500;63.9125000;63.9200000;63.7825000;63.8175000;45077000
USD000000TOD;15;20161207;120000;63.8100000;63.8325000;63.7900000;63.8100000;30604000
USD000000TOD;15;20161207;121500;63.8100000;63.8300000;63.7900000;63.8100000;22847000
USD000000TOD;15;20161207;123000;63.8050000;63.8075000;63.7000000;63.7575000;69730000
USD000000TOD;15;20161207;124500;63.7500000;63.7525000;63.6750000;63.6975000;38561000
USD000000TOD;15;20161207;130000;63.6900000;63.7400000;63.6825000;63.7375000;14631000
USD000000TOD;15;20161207;131500;63.7350000;63.7350000;63.6225000;63.6300000;32047000
USD000000TOD;15;20161207;133000;63.6275000;63.6675000;63.5575000;63.6200000;39534000
USD000000TOD;15;20161207;134500;63.6150000;63.6375000;63.5825000;63.6200000;34129000
USD000000TOD;15;20161207;140000;63.6225000;63.6625000;63.6100000;63.6425000;28263000
USD000000TOD;15;20161207;141500;63.6375000;63.6750000;63.6350000;63.6350000;36713000
USD000000TOD;15;20161207;143000;63.6475000;63.6650000;63.6150000;63.6225000;10884000
USD000000TOD;15;20161207;144500;63.6225000;63.6825000;63.6200000;63.6825000;17133000
USD000000TOD;15;20161207;150000;63.6875000;63.6900000;63.6425000;63.6700000;13981000
USD000000TOD;15;20161207;151500;63.6675000;63.7300000;63.6525000;63.7200000;12597000
USD000000TOD;15;20161207;153000;63.7150000;63.7450000;63.6950000;63.7175000;17662000
USD000000TOD;15;20161207;154500;63.7075000;63.7250000;63.6825000;63.7200000;10621000
USD000000TOD;15;20161207;160000;63.7225000;63.7225000;63.6700000;63.6950000;8396000
USD000000TOD;15;20161207;161500;63.6950000;63.7375000;63.6825000;63.7175000;16822000
USD000000TOD;15;20161207;163000;63.7250000;63.8125000;63.6975000;63.7500000;17608000
USD000000TOD;15;20161207;164500;63.7500000;63.7800000;63.7250000;63.7475000;21434000
USD000000TOD;15;20161207;170000;63.7475000;63.7600000;63.6850000;63.7575000;17807000
USD000000TOD;15;20161207;171500;63.7550000;63.7550000;63.6575000;63.6600000;9505000
USD000000TOD;15;20161208;101500;63.3700000;63.4475000;63.2575000;63.4400000;167485000
USD000000TOD;15;20161208;103000;63.4400000;63.4700000;63.3500000;63.3600000;73724000
USD000000TOD;15;20161208;104500;63.3600000;63.4175000;63.3300000;63.3525000;45871000
USD000000TOD;15;20161208;110000;63.3450000;63.4275000;63.3400000;63.4150000;40398000
USD000000TOD;15;20161208;111500;63.4175000;63.4400000;63.3725000;63.4075000;37486000
USD000000TOD;15;20161208;113000;63.4025000;63.4150000;63.3750000;63.3825000;18282000
USD000000TOD;15;20161208;114500;63.3850000;63.4425000;63.3775000;63.4050000;23372000
USD000000TOD;15;20161208;120000;63.4025000;63.4250000;63.3500000;63.3600000;51593000
USD000000TOD;15;20161208;121500;63.3575000;63.3650000;63.3075000;63.3325000;28526000
USD000000TOD;15;20161208;123000;63.3500000;63.3550000;63.3075000;63.3400000;26214000
USD000000TOD;15;20161208;124500;63.3400000;63.3700000;63.3300000;63.3700000;12861000
USD000000TOD;15;20161208;130000;63.3700000;63.3775000;63.3200000;63.3625000;32821000
USD000000TOD;15;20161208;131500;63.3525000;63.4025000;63.3525000;63.3900000;23694000
USD000000TOD;15;20161208;133000;63.3900000;63.3975000;63.3675000;63.3900000;11239000
USD000000TOD;15;20161208;134500;63.3900000;63.3975000;63.3200000;63.3450000;21618000
USD000000TOD;15;20161208;140000;63.3400000;63.3400000;63.3100000;63.3325000;21043000
USD000000TOD;15;20161208;141500;63.3350000;63.3375000;63.2900000;63.3200000;18811000
USD000000TOD;15;20161208;143000;63.3250000;63.3375000;63.3000000;63.3025000;19347000
USD000000TOD;15;20161208;144500;63.3150000;63.3500000;63.2925000;63.3200000;9351000
USD000000TOD;15;20161208;150000;63.3100000;63.3700000;63.3050000;63.3175000;20036000
USD000000TOD;15;20161208;151500;63.3250000;63.3375000;63.3050000;63.3150000;8210000
USD000000TOD;15;20161208;153000;63.3200000;63.3200000;63.2900000;63.2950000;9524000
USD000000TOD;15;20161208;154500;63.2950000;63.3225000;63.2575000;63.2825000;23953000
USD000000TOD;15;20161208;160000;63.2825000;63.4400000;63.2325000;63.3700000;107356000
USD000000TOD;15;20161208;161500;63.3650000;63.3825000;63.2625000;63.3575000;33643000
USD000000TOD;15;20161208;163000;63.3625000;63.4250000;63.3150000;63.3225000;35392000
USD000000TOD;15;20161208;164500;63.3400000;63.4275000;63.3175000;63.4150000;37861000
USD000000TOD;15;20161208;170000;63.4225000;63.5225000;63.3950000;63.4150000;40050000
USD000000TOD;15;20161208;171500;63.4150000;63.4150000;63.3200000;63.3725000;10804000
USD000000TOD;15;20161209;101500;63.3025000;63.3300000;63.2075000;63.2725000;88397000
USD000000TOD;15;20161209;103000;63.2750000;63.2900000;63.2550000;63.2725000;45044000
USD000000TOD;15;20161209;104500;63.2675000;63.2800000;63.2400000;63.2450000;38696000
